age,revenu_mensuel,anciennete_emploi,type_contrat,montant_demande,duree_pret_mois,nb_credits_actuels,historique_credit,apport_personnel,situation_familiale,nb_personnes_charge,credit_accorde
59,216000,8.0,CDD,2300000,60,3,Bon,890000.0,Célibataire,0,1
45,247000,10.0,CDI,4420000,120,2,Bon,540000.0,Célibataire,0,1
27,834000,0.0,CDI,24850000,48,2,Mauvais,1910000.0,Marié,0,1
34,233000,10.0,Indépendant,8970000,36,1,Mauvais,3040000.0,Célibataire,1,0
49,934000,23.0,CDI,28150000,48,1,Moyen,7620000.0,Célibataire,0,1
41,334000,0.0,CDD,12360000,120,0,Bon,2050000.0,Marié,1,1
57,322000,27.0,CDI,8750000,60,5,Mauvais,2700000.0,Divorcé,1,0
53,304000,17.0,Indépendant,3990000,120,2,Bon,300000.0,Célibataire,2,1
61,304000,28.0,CDI,5170000,36,0,Bon,1240000.0,Divorcé,1,1
45,487000,25.0,Indépendant,8850000,120,0,Mauvais,2780000.0,Marié,2,1
34,112000,,CDI,1650000,12,0,Moyen,120000.0,Marié,1,0
29,407000,24.0,CDI,3890000,12,1,Bon,290000.0,Célibataire,5,1
35,238000,20.0,CDI,6670000,12,1,Bon,1030000.0,Marié,0,0
27,420000,18.0,CDD,11080000,84,1,Bon,290000.0,Célibataire,0,1
22,203000,24.0,CDI,6180000,36,0,Bon,480000.0,Marié,0,1
51,283000,27.0,CDI,2140000,48,1,Moyen,600000.0,Célibataire,1,1
27,621000,12.0,CDD,15740000,84,2,Bon,2710000.0,Célibataire,1,1
61,377000,11.0,CDI,11350000,120,1,Bon,3730000.0,Célibataire,4,1
31,385000,12.0,CDD,3490000,60,0,Bon,360000.0,Marié,1,1
33,619000,14.0,CDI,11420000,24,1,Bon,4390000.0,Célibataire,1,1
33,673000,5.0,CDI,9700000,60,1,Moyen,770000.0,Célibataire,2,1
46,367000,23.0,CDI,12130000,60,1,Bon,3260000.0,Marié,1,1
63,641000,18.0,Fonctionnaire,23690000,120,1,Moyen,5580000.0,Marié,2,1
28,254000,24.0,Indépendant,4430000,60,2,Bon,1490000.0,Célibataire,0,1
34,687000,4.0,Indépendant,21800000,48,2,Mauvais,7010000.0,Marié,2,0
22,561000,26.0,CDI,17930000,84,0,Bon,2430000.0,Marié,1,1
62,184000,,Indépendant,6440000,36,0,Bon,1240000.0,Célibataire,0,0
35,239000,26.0,CDD,4680000,12,1,Bon,1310000.0,Marié,2,0
44,186000,8.0,CDI,3020000,48,3,Mauvais,200000.0,Marié,1,0
54,485000,22.0,CDD,4950000,24,0,Moyen,230000.0,Marié,3,1
24,386000,2.0,CDI,14390000,24,1,Moyen,4230000.0,Marié,0,0
38,473000,8.0,CDD,9700000,24,2,Bon,3190000.0,Divorcé,0,1
45,107000,10.0,CDD,550000,84,0,Bon,30000.0,Célibataire,3,1
44,411000,18.0,CDI,5190000,24,3,Bon,260000.0,Célibataire,2,1
26,159000,12.0,CDI,4860000,12,1,Bon,1400000.0,Célibataire,0,0
54,985000,14.0,CDI,36730000,24,0,Bon,8200000.0,Célibataire,4,1
58,128000,25.0,CDD,4400000,84,1,Bon,340000.0,Célibataire,2,1
23,94000,28.0,CDD,3410000,84,2,Bon,240000.0,Marié,1,1
39,1014000,0.0,CDD,24820000,120,1,Bon,7790000.0,Marié,2,1
56,149000,17.0,CDI,5860000,48,2,Bon,2000000.0,Divorcé,1,0
39,80000,17.0,Fonctionnaire,2560000,120,0,Mauvais,660000.0,Marié,3,0
48,279000,21.0,CDI,6640000,12,2,Bon,2300000.0,Marié,1,0
30,504000,18.0,CDI,10690000,24,0,Bon,670000.0,Divorcé,2,1
38,130000,5.0,CDI,700000,120,2,Bon,250000.0,Célibataire,1,1
24,203000,25.0,Fonctionnaire,4270000,36,0,Moyen,1690000.0,Marié,2,1
32,276000,19.0,CDI,1460000,60,3,Bon,,Célibataire,3,1
47,312000,3.0,CDD,5120000,24,4,Bon,550000.0,Célibataire,3,0
49,607000,5.0,Indépendant,11730000,48,0,Bon,3860000.0,Célibataire,1,1
32,278000,13.0,Fonctionnaire,10110000,24,1,Moyen,3790000.0,Célibataire,0,0
31,80000,14.0,Fonctionnaire,1730000,48,1,Bon,240000.0,Célibataire,0,1
24,700000,12.0,CDI,18920000,48,1,Bon,6970000.0,Divorcé,3,1
44,213000,13.0,Fonctionnaire,2040000,84,3,Bon,480000.0,Divorcé,3,1
46,247000,21.0,Fonctionnaire,4270000,60,0,Moyen,480000.0,Marié,0,1
48,191000,24.0,Indépendant,5830000,120,0,Bon,20000.0,Marié,1,1
24,243000,27.0,Indépendant,1390000,120,2,Moyen,480000.0,Célibataire,0,1
56,922000,11.0,CDD,24730000,36,1,Moyen,9220000.0,Marié,0,1
35,283000,11.0,CDD,9330000,12,2,Bon,2860000.0,Célibataire,3,0
42,335000,29.0,CDD,3880000,120,0,Bon,510000.0,Célibataire,3,1
44,429000,19.0,CDI,13780000,120,2,Bon,4720000.0,Célibataire,2,1
44,260000,19.0,Indépendant,3650000,36,1,Bon,520000.0,Divorcé,1,1
57,358000,7.0,CDI,13020000,36,1,Bon,980000.0,Marié,2,0
25,397000,9.0,CDD,15000000,120,0,Bon,2490000.0,Marié,1,1
26,396000,18.0,CDI,11480000,36,3,Bon,1500000.0,Marié,0,0
30,415000,29.0,CDI,13270000,84,2,Bon,3560000.0,Marié,3,1
23,80000,9.0,Fonctionnaire,3120000,60,0,Bon,640000.0,Marié,1,1
58,202000,28.0,Indépendant,4000000,84,1,Bon,1270000.0,Marié,1,1
54,270000,10.0,CDI,1920000,36,2,Moyen,10000.0,Divorcé,1,1
26,186000,21.0,CDI,2270000,24,2,Moyen,450000.0,Célibataire,3,0
30,194000,4.0,CDD,2150000,36,0,,440000.0,Marié,1,0
36,86000,3.0,CDI,3110000,48,1,Moyen,1130000.0,Célibataire,1,0
49,222000,6.0,CDI,5540000,12,3,Moyen,360000.0,Célibataire,0,0
23,606000,22.0,CDI,16320000,36,1,Bon,6220000.0,Marié,0,1
31,315000,0.0,CDD,5370000,60,1,Moyen,40000.0,Célibataire,1,1
57,328000,2.0,CDI,2860000,120,1,Mauvais,150000.0,Marié,4,0
24,147000,13.0,CDI,4860000,60,1,Moyen,890000.0,Marié,1,0
24,343000,5.0,CDI,8180000,120,2,Bon,,Marié,1,1
44,168000,12.0,Fonctionnaire,5440000,84,0,Bon,590000.0,Marié,0,1
48,298000,13.0,Indépendant,4020000,84,2,Bon,10000.0,Marié,3,1
55,334000,3.0,CDI,6780000,24,1,,730000.0,Célibataire,2,0
58,605000,23.0,Indépendant,21300000,84,1,Bon,700000.0,Marié,4,1
44,241000,2.0,CDD,8210000,12,1,Moyen,1860000.0,Célibataire,1,0
42,326000,26.0,Indépendant,6350000,12,0,Bon,150000.0,Marié,3,0
46,594000,15.0,CDI,12000000,24,0,Bon,4740000.0,Marié,1,1
38,357000,15.0,Indépendant,10420000,48,3,Moyen,2190000.0,Marié,0,0
23,856000,13.0,CDI,22870000,12,0,Moyen,2350000.0,Marié,2,0
31,80000,11.0,Fonctionnaire,2490000,60,1,Bon,990000.0,Marié,5,1
29,220000,14.0,Fonctionnaire,8430000,120,1,Mauvais,3090000.0,Marié,1,0
53,247000,3.0,Indépendant,2670000,12,2,Moyen,,Célibataire,2,0
46,161000,8.0,CDI,2280000,120,1,Mauvais,870000.0,Marié,2,0
56,733000,15.0,Indépendant,16100000,24,0,Bon,3840000.0,Célibataire,2,1
24,153000,26.0,Fonctionnaire,2610000,48,3,Mauvais,150000.0,Marié,2,0
22,341000,23.0,CDD,4140000,48,0,Bon,1350000.0,Marié,0,1
28,989000,6.0,Indépendant,29390000,48,0,Moyen,8550000.0,Marié,1,1
27,104000,9.0,CDI,860000,48,0,Bon,280000.0,Divorcé,3,1
56,243000,13.0,CDI,9270000,48,3,Bon,2880000.0,Célibataire,1,0
54,263000,7.0,CDI,9760000,120,2,,0.0,Célibataire,0,0
60,564000,19.0,CDD,13040000,60,4,Bon,2500000.0,Célibataire,2,1
39,119000,7.0,Indépendant,2410000,36,0,Mauvais,680000.0,Marié,1,0
49,327000,5.0,Indépendant,4110000,60,1,Bon,1180000.0,Célibataire,1,1
59,81000,8.0,CDI,2160000,12,1,Bon,470000.0,Célibataire,2,0
26,153000,28.0,CDD,4250000,120,1,Mauvais,290000.0,Célibataire,2,1
30,387000,21.0,CDD,11560000,84,3,Bon,1420000.0,Marié,2,1
61,173000,18.0,CDI,4060000,36,1,Bon,260000.0,Marié,1,1
62,328000,3.0,CDD,6750000,120,1,Bon,1110000.0,Marié,2,1
25,195000,16.0,CDI,2040000,60,0,Bon,710000.0,Divorcé,1,1
44,123000,9.0,CDD,3830000,48,2,Moyen,500000.0,Célibataire,0,0
61,208000,10.0,CDD,7160000,84,1,Bon,2010000.0,Divorcé,1,1
42,498000,18.0,Indépendant,6730000,36,2,Bon,270000.0,Marié,1,1
46,519000,21.0,Fonctionnaire,8330000,84,2,Bon,3020000.0,Marié,2,1
57,255000,17.0,Fonctionnaire,7690000,12,2,Bon,290000.0,Célibataire,2,0
49,210000,7.0,Indépendant,7540000,36,0,Moyen,680000.0,Célibataire,1,0
56,360000,24.0,CDI,5880000,36,2,Bon,700000.0,Célibataire,0,1
40,284000,10.0,Indépendant,5460000,24,0,Moyen,230000.0,Célibataire,3,0
38,166000,1.0,Indépendant,4250000,48,0,Bon,1250000.0,Marié,1,0
60,357000,8.0,CDI,5230000,60,1,Bon,1870000.0,Marié,3,1
61,191000,27.0,Indépendant,5610000,36,1,Mauvais,1440000.0,Marié,1,0
35,80000,13.0,CDI,2540000,60,0,Bon,460000.0,Célibataire,3,1
35,257000,9.0,Indépendant,6650000,48,0,Moyen,1840000.0,Marié,3,0
44,471000,9.0,CDI,9150000,24,0,Moyen,1430000.0,Divorcé,4,0
49,341000,25.0,CDI,2430000,84,3,Bon,,Marié,1,1
37,187000,9.0,CDI,5670000,60,0,Bon,2130000.0,Marié,2,1
45,400000,16.0,Indépendant,3280000,12,0,Moyen,190000.0,Marié,2,0
36,80000,2.0,Fonctionnaire,3090000,24,1,Moyen,790000.0,Marié,0,0
37,282000,5.0,CDI,6750000,84,1,Bon,2450000.0,Divorcé,1,1
41,172000,6.0,CDI,1710000,36,1,Bon,410000.0,Célibataire,0,1
64,470000,10.0,CDD,11020000,12,1,Mauvais,3720000.0,Marié,1,0
47,201000,16.0,CDI,5710000,60,2,Moyen,800000.0,Célibataire,0,1
25,80000,0.0,Indépendant,1150000,48,1,Bon,230000.0,Célibataire,3,0
42,145000,0.0,CDI,4810000,24,1,,200000.0,Célibataire,1,0
53,440000,21.0,Fonctionnaire,5860000,48,1,Bon,1450000.0,Marié,4,1
60,661000,8.0,CDI,21140000,120,1,Moyen,3840000.0,Marié,0,1
22,342000,3.0,Indépendant,5350000,48,1,Mauvais,280000.0,Célibataire,1,0
55,135000,4.0,CDD,3220000,60,1,Moyen,1100000.0,Marié,1,0
63,555000,27.0,CDI,12380000,120,4,,2870000.0,Marié,3,1
39,80000,4.0,Fonctionnaire,2170000,84,3,Bon,600000.0,Divorcé,0,1
60,145000,1.0,CDD,4410000,60,0,Bon,1740000.0,Célibataire,1,0
47,251000,10.0,Indépendant,8850000,84,4,Bon,290000.0,Célibataire,1,1
60,205000,10.0,CDD,3140000,120,0,,1060000.0,Marié,0,1
56,141000,8.0,CDI,5000000,36,1,Mauvais,1120000.0,Célibataire,2,0
59,583000,20.0,CDD,21840000,120,0,Bon,4970000.0,Célibataire,3,1
22,416000,8.0,Indépendant,3530000,12,0,Bon,270000.0,Marié,0,0
61,357000,25.0,Indépendant,1820000,24,1,Bon,650000.0,Célibataire,1,1
38,524000,4.0,CDI,18310000,120,1,Bon,1520000.0,Célibataire,2,1
43,208000,13.0,Fonctionnaire,7590000,12,2,Bon,1790000.0,Marié,1,0
46,181000,7.0,CDD,5900000,120,1,Moyen,1530000.0,Célibataire,2,0
31,497000,15.0,Indépendant,15940000,24,3,Bon,1990000.0,Marié,1,0
21,372000,2.0,CDI,4920000,24,1,Bon,,Marié,1,1
56,316000,5.0,CDI,7520000,84,1,Bon,870000.0,Marié,3,1
40,250000,4.0,CDI,6950000,84,1,Bon,2210000.0,Célibataire,4,1
51,122000,17.0,CDD,4480000,36,0,Mauvais,660000.0,Marié,3,0
28,337000,7.0,Fonctionnaire,4790000,120,0,Bon,590000.0,Marié,1,1
60,255000,6.0,CDI,1780000,120,4,Mauvais,230000.0,Célibataire,1,0
44,157000,13.0,CDI,2110000,120,1,Mauvais,420000.0,Célibataire,3,0
40,135000,22.0,CDI,3760000,12,0,Bon,920000.0,Marié,1,0
35,320000,25.0,Fonctionnaire,10260000,84,0,Bon,1820000.0,Marié,0,1
50,190000,20.0,Fonctionnaire,1230000,60,0,Bon,50000.0,Divorcé,2,1
40,362000,10.0,Fonctionnaire,14210000,12,2,Bon,700000.0,Célibataire,3,0
58,265000,29.0,CDD,7250000,120,3,Bon,990000.0,Célibataire,0,1
22,725000,9.0,Indépendant,10160000,60,1,Moyen,2030000.0,Marié,4,1
26,88000,11.0,Indépendant,2460000,12,0,Bon,880000.0,Célibataire,2,0
62,147000,7.0,Indépendant,4930000,60,2,Mauvais,510000.0,Marié,5,0
38,397000,5.0,Indépendant,4140000,120,1,Bon,970000.0,Célibataire,0,1
56,296000,15.0,Indépendant,7750000,48,1,Bon,320000.0,Célibataire,1,1
34,285000,2.0,CDI,2450000,120,1,Mauvais,650000.0,Marié,0,1
46,309000,20.0,CDI,8960000,24,1,Mauvais,2100000.0,Célibataire,2,0
54,198000,3.0,CDD,6860000,60,0,Moyen,1820000.0,Célibataire,2,0
50,577000,9.0,Indépendant,6630000,36,1,Moyen,1140000.0,Marié,0,1
27,460000,25.0,CDD,12390000,48,0,Bon,2540000.0,Marié,1,1
50,421000,9.0,CDD,7930000,120,0,Moyen,1420000.0,Marié,2,1
38,452000,7.0,Indépendant,4720000,36,1,Bon,1280000.0,Célibataire,0,1
42,121000,20.0,Indépendant,850000,120,1,Bon,230000.0,Célibataire,1,1
37,468000,2.0,CDD,11880000,24,1,Bon,2940000.0,Célibataire,1,0
51,184000,,Indépendant,4360000,12,1,Moyen,1610000.0,Célibataire,1,0
37,192000,,CDD,1030000,48,0,Bon,400000.0,Marié,2,1
51,462000,24.0,CDD,5340000,84,0,Bon,1040000.0,Marié,2,1
33,272000,5.0,Fonctionnaire,9670000,120,1,Moyen,2930000.0,Marié,2,1
47,688000,16.0,CDD,14340000,84,1,Moyen,5660000.0,Marié,0,1
40,233000,22.0,CDI,4230000,12,3,Moyen,950000.0,Marié,2,0
37,717000,0.0,CDI,15730000,84,2,Moyen,3790000.0,Marié,2,1
49,203000,27.0,Indépendant,5300000,48,1,Bon,1060000.0,Marié,1,1
59,349000,6.0,Indépendant,2710000,84,0,Bon,440000.0,Célibataire,1,1
55,208000,28.0,Indépendant,6500000,60,2,Bon,1660000.0,Marié,2,1
28,493000,13.0,Fonctionnaire,14740000,120,3,Moyen,990000.0,Célibataire,3,1
63,203000,20.0,CDI,4030000,12,0,Moyen,1270000.0,Célibataire,1,0
58,293000,4.0,CDD,3150000,60,0,,920000.0,Marié,1,1
35,347000,16.0,CDI,6030000,60,3,Bon,1160000.0,Marié,0,1
21,117000,12.0,CDD,2920000,36,1,Bon,150000.0,Célibataire,2,0
53,604000,,Indépendant,6550000,120,0,Bon,500000.0,Marié,2,1
23,103000,3.0,Fonctionnaire,2790000,48,2,Moyen,800000.0,Célibataire,4,0
59,380000,0.0,CDI,6830000,48,0,Bon,2620000.0,Marié,2,1
58,466000,14.0,Fonctionnaire,16380000,84,1,Bon,1540000.0,Célibataire,1,1
35,375000,26.0,Indépendant,10870000,60,0,Bon,4270000.0,Célibataire,1,1
62,265000,7.0,CDI,5920000,36,1,Moyen,680000.0,Marié,1,0
38,311000,25.0,Fonctionnaire,5260000,60,0,Bon,1990000.0,Célibataire,1,1
58,256000,26.0,Fonctionnaire,9100000,60,2,,830000.0,Marié,1,1
51,535000,9.0,Fonctionnaire,3020000,24,2,Bon,630000.0,Marié,2,1
40,286000,21.0,Fonctionnaire,8050000,84,2,Moyen,740000.0,Marié,1,1
27,315000,17.0,CDD,12440000,12,0,Bon,4230000.0,Marié,2,0
57,368000,23.0,Fonctionnaire,2870000,60,0,Moyen,290000.0,Marié,0,1
47,667000,29.0,CDI,6490000,24,0,Bon,1210000.0,Divorcé,1,1
28,115000,1.0,CDI,1310000,36,1,Moyen,140000.0,Célibataire,1,0
34,375000,10.0,CDD,8080000,84,1,Mauvais,1840000.0,Marié,2,1
35,243000,10.0,Fonctionnaire,5770000,36,2,Mauvais,1760000.0,Marié,3,0
27,300000,6.0,Indépendant,6120000,12,1,Bon,1670000.0,Marié,2,0
53,262000,,Fonctionnaire,7560000,48,2,Moyen,2850000.0,Divorcé,0,1
54,423000,14.0,CDI,10980000,48,0,Moyen,1610000.0,Marié,2,1
24,156000,12.0,CDI,830000,36,0,Bon,280000.0,Divorcé,0,1
21,395000,1.0,Fonctionnaire,14420000,60,2,Moyen,4670000.0,Marié,1,0
61,146000,1.0,CDD,4870000,48,1,Bon,1680000.0,Marié,3,0
34,80000,16.0,Fonctionnaire,1120000,48,3,Mauvais,210000.0,Célibataire,2,0
51,530000,15.0,CDI,10710000,60,1,Mauvais,3360000.0,Célibataire,3,1
58,541000,6.0,CDI,16230000,120,4,Bon,5350000.0,Marié,2,1
40,236000,20.0,CDD,7360000,36,1,Moyen,800000.0,Marié,0,0
23,1327000,23.0,Indépendant,44050000,36,1,Bon,12270000.0,Marié,2,1
