commune,superficie_m2,nb_pieces,age_batiment,etage,standing,meuble,parking,securite,loyer_fcfa
Abobo,43.0,2.0,14.0,4,Moyen,0,0,0,51000
Treichville,102.0,3.0,29.0,8,Économique,0,1,0,200000
Yopougon,173.0,6.0,39.0,3,Économique,0,1,0,156000
Riviera,169.0,6.0,31.0,8,Moyen,0,1,1,762000
Marcory,197.0,9.0,34.0,11,Économique,1,0,1,732000
Yopougon,107.0,3.0,20.0,7,Économique,0,0,0,137000
Koumassi,115.0,6.0,30.0,0,Haut standing,1,1,0,274000
Marcory,70.0,3.0,35.0,3,Moyen,0,1,1,203000
Cocody,43.0,1.0,26.0,6,Moyen,1,0,0,206000
Marcory,85.0,3.0,7.0,0,Moyen,1,0,0,299000
Plateau,155.0,6.0,22.0,11,Économique,0,1,1,630000
Riviera,22.0,2.0,22.0,7,Économique,0,0,0,96000
Port-Bouët,71.0,2.0,32.0,10,Moyen,0,0,1,158000
Abobo,120.0,5.0,12.0,1,Moyen,0,0,1,191000
Bingerville,92.0,3.0,38.0,7,Économique,0,0,1,211000
Port-Bouët,164.0,7.0,34.0,10,Économique,0,0,0,237000
Plateau,147.0,6.0,15.0,3,Économique,1,1,1,1204000
Bingerville,,3.0,11.0,7,Moyen,0,0,1,167000
Abobo,96.0,3.0,30.0,0,Économique,0,0,0,76000
Port-Bouët,61.0,3.0,4.0,11,Haut standing,0,1,0,229000
Bingerville,61.0,3.0,39.0,4,Haut standing,1,1,0,232000
Treichville,41.0,3.0,24.0,8,Moyen,0,1,1,151000
Cocody,104.0,5.0,20.0,6,Moyen,0,1,0,642000
Marcory,166.0,8.0,2.0,2,Économique,1,1,0,679000
Yopougon,108.0,4.0,9.0,3,Économique,0,1,1,178000
Port-Bouët,40.0,1.0,22.0,9,Moyen,0,1,0,85000
Bingerville,89.0,3.0,16.0,6,Économique,0,1,0,244000
Cocody,118.0,6.0,34.0,5,Économique,0,1,0,409000
Abobo,86.0,2.0,24.0,3,Moyen,0,1,1,110000
Yopougon,107.0,4.0,1.0,2,Moyen,1,1,1,253000
Marcory,64.0,4.0,26.0,10,Moyen,0,1,1,253000
Cocody,81.0,3.0,8.0,1,Économique,0,1,0,298000
Treichville,78.0,3.0,3.0,9,Économique,0,0,1,220000
Riviera,180.0,8.0,25.0,11,Moyen,0,1,0,1090000
Treichville,51.0,2.0,31.0,8,Haut standing,0,0,0,153000
Abobo,24.0,2.0,28.0,2,Moyen,1,0,1,35000
Adjamé,175.0,7.0,21.0,6,Économique,1,1,1,422000
Yopougon,97.0,3.0,12.0,0,Économique,0,0,1,162000
Riviera,45.0,1.0,22.0,7,Haut standing,0,0,0,205000
Riviera,141.0,5.0,30.0,0,Économique,0,0,0,524000
Marcory,121.0,6.0,35.0,11,Économique,1,0,0,343000
Yopougon,194.0,8.0,39.0,1,Économique,0,0,0,195000
Treichville,101.0,4.0,30.0,0,Moyen,0,1,0,224000
Marcory,260.0,9.0,14.0,3,Économique,1,1,1,1156000
Cocody,86.0,2.0,13.0,1,Économique,0,0,0,282000
Abobo,122.0,6.0,34.0,0,Moyen,0,1,0,158000
Yopougon,130.0,6.0,23.0,0,Économique,0,1,0,175000
Cocody,336.0,10.0,29.0,1,Moyen,0,0,0,1135000
Marcory,73.0,4.0,29.0,5,Moyen,1,1,1,372000
Riviera,72.0,4.0,26.0,1,Moyen,0,0,1,342000
Marcory,131.0,6.0,39.0,11,Économique,0,1,1,455000
Plateau,43.0,1.0,,11,Moyen,0,0,1,293000
Yopougon,61.0,1.0,10.0,10,Économique,1,1,0,146000
Riviera,85.0,3.0,25.0,1,Économique,1,0,1,425000
Marcory,191.0,9.0,20.0,7,Moyen,0,1,0,739000
Adjamé,131.0,4.0,,4,Moyen,0,0,0,249000
Koumassi,95.0,5.0,0.0,7,Économique,0,1,0,281000
Marcory,69.0,3.0,5.0,11,Économique,0,0,0,247000
Koumassi,228.0,10.0,0.0,11,Économique,0,0,0,562000
Yopougon,89.0,4.0,21.0,7,Moyen,0,0,1,176000
Abobo,61.0,2.0,12.0,11,Moyen,1,0,0,96000
Abobo,250.0,9.0,37.0,1,Moyen,0,1,1,249000
Abobo,44.0,3.0,39.0,6,Moyen,0,0,1,56000
Cocody,168.0,6.0,30.0,8,Haut standing,1,1,1,1131000
Port-Bouët,92.0,5.0,14.0,11,Économique,0,0,1,240000
Treichville,131.0,6.0,1.0,7,Économique,0,0,1,283000
Plateau,120.0,5.0,30.0,8,Moyen,0,0,0,541000
Cocody,130.0,5.0,25.0,7,Économique,0,1,0,559000
Abobo,261.0,10.0,1.0,3,Moyen,1,1,1,478000
Adjamé,241.0,9.0,10.0,9,Économique,0,0,1,548000
Cocody,63.0,3.0,32.0,6,Haut standing,0,1,1,396000
Abobo,118.0,5.0,17.0,8,Économique,1,1,1,179000
Marcory,32.0,2.0,20.0,8,Économique,0,0,0,101000
Abobo,137.0,6.0,30.0,3,Moyen,0,1,1,152000
Plateau,153.0,6.0,25.0,6,Économique,0,0,1,765000
Adjamé,24.0,1.0,29.0,5,Haut standing,1,0,0,69000
Yopougon,,4.0,38.0,11,Économique,0,0,1,118000
Riviera,131.0,6.0,20.0,11,Moyen,0,1,1,738000
Cocody,110.0,4.0,15.0,2,Économique,0,0,0,383000
Treichville,45.0,3.0,6.0,9,Moyen,1,0,1,174000
Cocody,48.0,2.0,21.0,5,Haut standing,1,0,0,363000
Riviera,85.0,4.0,6.0,7,Moyen,0,0,0,431000
Bingerville,73.0,4.0,1.0,1,Moyen,1,0,0,382000
Marcory,77.0,2.0,36.0,11,Économique,1,1,1,285000
Adjamé,41.0,3.0,13.0,2,Haut standing,0,0,0,89000
Port-Bouët,93.0,4.0,7.0,7,Moyen,0,1,0,290000
Abobo,192.0,9.0,,3,Haut standing,0,0,1,255000
Abobo,46.0,2.0,6.0,3,Moyen,0,1,0,66000
Marcory,82.0,2.0,37.0,1,Économique,1,0,0,217000
Cocody,124.0,5.0,21.0,10,Moyen,0,1,1,735000
Bingerville,36.0,1.0,16.0,9,Économique,0,1,0,95000
Riviera,94.0,3.0,15.0,11,Moyen,0,0,1,477000
Abobo,151.0,7.0,32.0,0,Économique,1,1,0,215000
Treichville,52.0,1.0,38.0,6,Économique,0,0,1,117000
Treichville,98.0,4.0,34.0,3,Haut standing,0,0,0,318000
Koumassi,145.0,5.0,37.0,5,Haut standing,1,1,1,374000
Bingerville,254.0,9.0,31.0,7,Haut standing,1,0,0,951000
Bingerville,96.0,5.0,2.0,10,Moyen,1,0,0,454000
Koumassi,62.0,2.0,2.0,6,Moyen,0,0,1,127000
Abobo,29.0,1.0,7.0,6,Moyen,0,0,1,43000
Cocody,62.0,3.0,30.0,5,Économique,1,1,1,352000
Plateau,40.0,3.0,8.0,10,Haut standing,0,0,0,307000
Bingerville,200.0,8.0,4.0,3,Haut standing,0,1,0,787000
Abobo,141.0,7.0,27.0,3,Moyen,0,0,0,178000
Cocody,48.0,1.0,14.0,8,Haut standing,1,0,0,385000
Cocody,,3.0,26.0,10,Moyen,0,1,0,312000
Adjamé,95.0,4.0,30.0,4,Économique,0,1,1,122000
Cocody,150.0,6.0,39.0,8,Haut standing,0,0,0,812000
Plateau,118.0,6.0,17.0,10,Moyen,0,1,0,636000
Abobo,112.0,3.0,37.0,11,Moyen,1,0,0,117000
Adjamé,102.0,5.0,3.0,8,Économique,0,0,1,232000
Adjamé,49.0,2.0,20.0,3,Moyen,0,1,0,99000
Marcory,96.0,5.0,22.0,1,Moyen,0,1,0,313000
Koumassi,90.0,5.0,21.0,1,Moyen,0,1,1,243000
Marcory,40.0,1.0,0.0,8,Moyen,1,1,0,202000
Treichville,197.0,9.0,24.0,8,Économique,1,0,0,449000
Koumassi,66.0,2.0,27.0,2,Moyen,0,1,0,113000
Abobo,40.0,3.0,36.0,4,Haut standing,0,0,0,52000
Port-Bouët,72.0,4.0,10.0,4,Économique,0,1,0,151000
Adjamé,80.0,2.0,21.0,1,Économique,0,1,0,116000
Abobo,88.0,3.0,24.0,1,Économique,0,1,0,71000
Cocody,79.0,3.0,20.0,9,Haut standing,0,1,0,451000
Yopougon,91.0,3.0,35.0,11,Moyen,1,0,0,158000
Marcory,99.0,5.0,19.0,0,Haut standing,1,0,0,482000
Marcory,96.0,4.0,15.0,1,Moyen,0,0,0,354000
Riviera,112.0,3.0,27.0,10,Moyen,1,1,0,617000
Yopougon,115.0,4.0,28.0,6,Moyen,1,1,0,164000
Bingerville,117.0,5.0,25.0,0,Économique,0,0,1,272000
Abobo,131.0,6.0,39.0,0,Économique,1,1,0,159000
Port-Bouët,62.0,3.0,1.0,8,Moyen,1,1,1,227000
Yopougon,64.0,3.0,9.0,1,Économique,0,1,1,116000
Abobo,151.0,7.0,12.0,10,Économique,1,0,1,281000
Yopougon,74.0,2.0,14.0,3,Économique,0,1,1,133000
Marcory,86.0,4.0,8.0,10,Économique,0,1,1,276000
Koumassi,82.0,2.0,26.0,2,Économique,0,1,1,141000
Marcory,249.0,10.0,7.0,10,Moyen,1,0,1,1365000
Cocody,57.0,1.0,5.0,3,Économique,0,1,0,282000
Abobo,56.0,,35.0,10,Économique,0,1,0,69000
Plateau,91.0,3.0,23.0,10,Économique,0,1,0,506000
Riviera,,4.0,2.0,6,Moyen,0,0,1,544000
Riviera,48.0,1.0,25.0,9,Moyen,0,0,0,183000
Riviera,87.0,4.0,35.0,1,Haut standing,0,1,1,503000
Yopougon,,5.0,20.0,1,Moyen,0,0,0,179000
Cocody,70.0,2.0,12.0,8,Économique,1,1,0,454000
Riviera,85.0,4.0,10.0,5,Économique,0,0,0,374000
Yopougon,60.0,2.0,7.0,10,Économique,1,0,1,143000
Riviera,48.0,3.0,13.0,6,Haut standing,0,0,1,321000
Riviera,73.0,3.0,32.0,4,Moyen,0,0,0,284000
Bingerville,52.0,2.0,1.0,4,Économique,1,1,1,209000
Treichville,42.0,3.0,0.0,3,Économique,0,0,0,97000
Yopougon,28.0,1.0,10.0,7,Moyen,1,1,0,69000
Bingerville,103.0,4.0,5.0,6,Économique,0,1,0,314000
Treichville,72.0,2.0,31.0,9,Moyen,0,0,1,183000
Plateau,151.0,6.0,14.0,1,Moyen,0,1,1,988000
Abobo,26.0,1.0,11.0,1,Moyen,0,1,0,33000
Riviera,75.0,3.0,36.0,5,Moyen,0,1,0,326000
Adjamé,102.0,,28.0,11,Économique,0,1,1,185000
Abobo,64.0,3.0,,10,Moyen,0,0,0,82000
Cocody,90.0,5.0,13.0,0,Moyen,0,0,0,280000
Abobo,29.0,1.0,18.0,6,Économique,0,0,0,32000
Riviera,73.0,4.0,4.0,7,Moyen,0,0,0,345000
Plateau,57.0,3.0,34.0,9,Moyen,0,1,1,309000
Abobo,144.0,,24.0,7,Économique,0,1,0,157000
Bingerville,99.0,3.0,37.0,2,Moyen,1,0,1,266000
Koumassi,134.0,4.0,8.0,6,Économique,0,0,1,268000
Adjamé,,7.0,6.0,0,Moyen,0,0,1,380000
Adjamé,70.0,2.0,17.0,10,Économique,0,0,0,137000
Yopougon,97.0,4.0,1.0,2,Moyen,0,1,0,189000
Treichville,49.0,3.0,9.0,5,Économique,0,1,1,142000
Port-Bouët,,5.0,1.0,8,Économique,0,0,1,246000
Port-Bouët,118.0,6.0,7.0,4,Moyen,0,0,0,302000
Bingerville,106.0,3.0,6.0,4,Moyen,0,0,0,336000
Riviera,69.0,2.0,34.0,8,Haut standing,0,1,0,284000
Abobo,206.0,7.0,22.0,11,Moyen,0,1,1,268000
Yopougon,92.0,4.0,7.0,8,Moyen,0,0,1,183000
Port-Bouët,316.0,10.0,20.0,5,Moyen,0,1,1,616000
Abobo,49.0,3.0,32.0,4,Économique,0,1,1,53000
Adjamé,124.0,4.0,0.0,9,Économique,0,0,1,249000
Port-Bouët,146.0,5.0,11.0,1,Économique,0,1,0,274000
Bingerville,50.0,1.0,10.0,10,Économique,0,0,1,155000
Treichville,80.0,2.0,29.0,7,Économique,0,1,1,185000
Yopougon,40.0,3.0,3.0,11,Haut standing,1,1,0,140000
Cocody,162.0,5.0,33.0,7,Moyen,0,0,0,646000
Abobo,87.0,4.0,22.0,6,Haut standing,0,1,1,137000
Cocody,57.0,1.0,31.0,7,Haut standing,0,0,1,286000
Yopougon,147.0,6.0,2.0,2,Économique,0,1,1,261000
Abobo,91.0,4.0,27.0,2,Économique,0,0,1,96000
Marcory,137.0,6.0,3.0,1,Moyen,0,1,0,499000
Abobo,113.0,6.0,11.0,0,Haut standing,0,0,1,191000
Cocody,53.0,2.0,23.0,2,Moyen,0,1,0,272000
Cocody,68.0,3.0,32.0,2,Moyen,0,0,0,239000
Port-Bouët,58.0,1.0,2.0,6,Économique,0,0,0,104000
Yopougon,47.0,2.0,3.0,11,Économique,1,1,0,115000
Cocody,34.0,2.0,29.0,9,Économique,1,1,0,170000
Abobo,227.0,10.0,5.0,8,Économique,1,0,1,503000
Koumassi,105.0,,29.0,11,Haut standing,0,0,0,297000
Marcory,113.0,6.0,7.0,0,Économique,1,0,0,326000
Abobo,155.0,5.0,17.0,7,Haut standing,1,0,0,237000
Cocody,68.0,2.0,15.0,0,Économique,1,1,1,374000
Cocody,41.0,2.0,5.0,2,Haut standing,0,0,0,248000
Abobo,131.0,6.0,23.0,3,Moyen,1,1,0,222000
Abobo,45.0,2.0,27.0,10,Moyen,0,1,0,63000
Abobo,129.0,6.0,31.0,7,Économique,0,0,0,106000
Koumassi,,3.0,,0,Moyen,0,0,0,87000
Riviera,44.0,3.0,27.0,11,Haut standing,1,1,1,420000
Abobo,64.0,2.0,20.0,1,Économique,0,0,0,53000
Treichville,127.0,6.0,7.0,10,Économique,0,0,0,329000
Port-Bouët,193.0,7.0,35.0,4,Économique,1,0,0,305000
Marcory,113.0,6.0,8.0,5,Économique,0,1,1,522000
Yopougon,66.0,3.0,39.0,4,Économique,1,0,0,102000
Cocody,143.0,5.0,20.0,2,Moyen,1,1,1,826000
Cocody,37.0,1.0,0.0,9,Économique,0,1,1,199000
Riviera,54.0,1.0,3.0,6,Moyen,0,0,0,285000
Port-Bouët,96.0,4.0,9.0,11,Haut standing,0,1,1,307000
Adjamé,133.0,4.0,25.0,0,Moyen,1,0,0,254000
Yopougon,82.0,3.0,39.0,1,Économique,1,1,0,122000
Plateau,77.0,4.0,2.0,10,Moyen,0,0,0,545000
Plateau,80.0,4.0,8.0,11,Économique,0,0,1,492000
Marcory,154.0,6.0,31.0,8,Économique,0,1,0,361000
Abobo,60.0,1.0,,3,Économique,1,1,1,104000
Koumassi,52.0,1.0,3.0,7,Haut standing,0,1,1,191000
Adjamé,79.0,3.0,5.0,8,Moyen,0,1,0,198000
Marcory,164.0,8.0,8.0,6,Économique,1,0,1,615000
Riviera,64.0,3.0,25.0,0,Moyen,0,0,0,278000
Koumassi,80.0,2.0,1.0,4,Économique,0,0,1,156000
Abobo,37.0,1.0,1.0,5,Haut standing,1,1,1,64000
Abobo,82.0,2.0,20.0,10,Haut standing,0,1,1,139000
Yopougon,103.0,3.0,21.0,7,Économique,0,1,1,133000
Marcory,45.0,3.0,2.0,9,Économique,0,0,1,180000
Yopougon,154.0,7.0,34.0,7,Moyen,0,0,0,183000
Koumassi,102.0,5.0,37.0,11,Moyen,0,0,1,206000
Cocody,69.0,2.0,32.0,8,Économique,1,0,0,232000
Cocody,102.0,3.0,14.0,8,Moyen,0,0,0,440000
Cocody,116.0,4.0,10.0,3,Économique,0,0,1,548000
Cocody,31.0,1.0,9.0,5,Moyen,0,0,0,187000
Bingerville,104.0,3.0,35.0,2,Économique,0,0,0,195000
Adjamé,161.0,7.0,13.0,0,Moyen,0,0,0,306000
Yopougon,59.0,3.0,1.0,5,Moyen,0,0,0,120000
Cocody,70.0,4.0,36.0,0,Moyen,0,1,0,310000
Yopougon,76.0,3.0,28.0,8,Moyen,0,0,0,116000
Yopougon,134.0,6.0,34.0,10,Moyen,0,1,1,246000
Plateau,50.0,,19.0,5,Économique,1,0,0,255000
Yopougon,114.0,5.0,20.0,0,Économique,0,1,0,144000
Yopougon,77.0,3.0,33.0,10,Économique,0,0,1,106000
Abobo,197.0,7.0,32.0,2,Économique,0,0,1,136000
Abobo,79.0,2.0,18.0,0,Moyen,0,1,1,79000
Cocody,22.0,2.0,7.0,1,Économique,0,1,0,127000
Yopougon,124.0,6.0,,5,Économique,0,0,0,177000
Abobo,111.0,4.0,10.0,6,Moyen,0,0,1,148000
Yopougon,100.0,3.0,7.0,0,Moyen,0,1,0,142000
Bingerville,159.0,7.0,24.0,9,Moyen,0,0,1,545000
Adjamé,34.0,,19.0,4,Économique,0,0,0,60000
Plateau,,1.0,37.0,5,Économique,0,1,1,203000
Cocody,89.0,4.0,6.0,3,Moyen,1,1,0,589000
Abobo,97.0,5.0,12.0,5,Haut standing,0,0,0,128000
Cocody,83.0,4.0,38.0,4,Économique,0,1,1,315000
Abobo,37.0,1.0,9.0,10,Moyen,0,1,1,59000
Riviera,70.0,2.0,7.0,6,Haut standing,0,0,1,443000
Abobo,191.0,8.0,19.0,3,Moyen,1,1,0,384000
Yopougon,49.0,2.0,16.0,0,Économique,1,1,1,79000
Abobo,88.0,5.0,10.0,1,Moyen,0,1,0,154000
Yopougon,114.0,5.0,15.0,5,Moyen,0,1,0,187000
Abobo,132.0,6.0,36.0,9,Moyen,1,0,0,161000
Riviera,124.0,6.0,31.0,10,Haut standing,1,1,1,1018000
Yopougon,67.0,2.0,25.0,1,Moyen,0,0,0,83000
Riviera,55.0,3.0,36.0,4,Moyen,0,0,1,201000
Riviera,198.0,7.0,8.0,11,Haut standing,0,1,0,1337000
Marcory,138.0,7.0,34.0,3,Moyen,1,1,0,560000
Cocody,93.0,5.0,2.0,6,Moyen,1,1,0,648000
Cocody,173.0,8.0,30.0,3,Moyen,0,1,0,970000
Cocody,37.0,1.0,6.0,6,Moyen,0,1,0,191000
Cocody,42.0,2.0,1.0,10,Moyen,1,0,0,234000
Adjamé,22.0,1.0,24.0,7,Économique,1,1,0,38000
Cocody,97.0,5.0,39.0,6,Moyen,0,0,0,331000
Treichville,99.0,3.0,11.0,1,Moyen,0,0,0,238000
Port-Bouët,39.0,1.0,29.0,10,Moyen,0,1,0,89000
Cocody,136.0,6.0,,0,Moyen,0,1,0,469000
Port-Bouët,28.0,1.0,28.0,4,Économique,0,1,0,55000
Marcory,107.0,4.0,10.0,11,Économique,0,1,1,375000
Cocody,120.0,4.0,22.0,6,Moyen,1,0,0,581000
Adjamé,96.0,4.0,16.0,11,Haut standing,1,0,0,256000
Abobo,36.0,2.0,12.0,0,Économique,0,1,0,41000
Bingerville,,7.0,32.0,10,Moyen,1,1,0,540000
Koumassi,69.0,3.0,0.0,7,Moyen,0,0,0,169000
Port-Bouët,69.0,3.0,39.0,2,Moyen,0,0,0,111000
Marcory,62.0,1.0,12.0,6,Moyen,1,0,0,181000
Plateau,126.0,5.0,37.0,2,Économique,0,1,1,526000
Koumassi,67.0,2.0,2.0,3,Moyen,1,1,1,227000
Port-Bouët,46.0,3.0,15.0,7,Moyen,0,0,1,109000
Riviera,144.0,7.0,6.0,1,Moyen,0,0,0,686000
Yopougon,87.0,4.0,2.0,5,Moyen,0,0,1,164000
Yopougon,146.0,6.0,13.0,9,Économique,0,0,0,243000
Koumassi,91.0,4.0,15.0,8,Haut standing,0,0,1,286000
Treichville,59.0,2.0,3.0,9,Moyen,1,0,0,207000
Riviera,30.0,1.0,30.0,8,Moyen,0,0,0,125000
Bingerville,97.0,3.0,12.0,4,Haut standing,0,0,0,379000
Yopougon,76.0,2.0,26.0,2,Haut standing,0,1,1,121000
Koumassi,129.0,6.0,0.0,5,Moyen,1,0,1,454000
Koumassi,65.0,2.0,24.0,11,Moyen,0,1,0,126000
Cocody,109.0,4.0,36.0,8,Moyen,0,1,1,584000
Riviera,89.0,4.0,10.0,5,Économique,1,0,1,431000
Yopougon,57.0,3.0,8.0,3,Économique,1,0,0,102000
Port-Bouët,68.0,3.0,6.0,11,Moyen,1,0,0,197000
Treichville,41.0,2.0,13.0,10,Moyen,0,0,1,101000
Bingerville,205.0,8.0,29.0,4,Économique,0,0,0,340000
Yopougon,108.0,3.0,23.0,6,Haut standing,1,1,1,248000
Cocody,39.0,1.0,2.0,9,Moyen,1,1,0,327000
Riviera,200.0,8.0,38.0,2,Moyen,1,0,1,884000
Cocody,48.0,2.0,26.0,11,Économique,0,1,1,239000
Treichville,65.0,3.0,0.0,8,Économique,1,0,0,134000
Riviera,79.0,3.0,37.0,0,Haut standing,0,0,0,357000
Riviera,90.0,3.0,25.0,7,Économique,0,1,0,359000
Abobo,127.0,6.0,5.0,4,Moyen,0,0,0,197000
Abobo,26.0,1.0,11.0,9,Moyen,1,1,0,46000
Yopougon,91.0,3.0,37.0,8,Moyen,0,1,1,116000
Treichville,77.0,3.0,34.0,1,Moyen,0,1,1,175000
Treichville,98.0,5.0,9.0,0,Économique,1,0,1,282000
Adjamé,75.0,2.0,8.0,9,Économique,0,1,0,151000
Koumassi,70.0,2.0,22.0,6,Moyen,0,0,1,144000
