client_id,age,anciennete_mois,conso_data_go,minutes_appel,nb_sms,facture_mensuelle,nb_reclamations,churn
143,29,87,4.6,141,34,9900,4,0
144,26,19,6.7,122,18,12600,1,1
145,22,51,9.8,308,117,22800,2,0
146,21,87,7.1,96,17,11100,2,0
147,61,63,6.1,143,48,14200,1,0
148,69,16,28.5,191,90,52200,4,1
149,23,62,4.6,82,21,8300,1,0
150,54,30,2.9,101,49,8200,0,0
151,49,27,7.9,51,50,17900,1,0
152,62,1,17.2,156,96,31700,0,0
153,41,93,5.9,386,112,17100,3,0
154,62,53,35.0,136,38,56000,3,1
155,59,37,2.9,108,48,10000,3,1
156,48,45,5.5,150,16,10900,1,0
157,57,49,34.1,189,46,55800,2,1
158,68,80,36.2,689,144,70200,1,0
159,62,38,33.7,405,172,61100,0,0
160,55,38,2.1,94,46,7400,5,1
161,48,34,2.2,71,13,6900,0,0
162,33,37,9.5,573,54,28800,3,0
163,26,70,40.9,762,85,81400,1,1
164,20,66,20.2,87,59,32700,6,1
165,41,61,3.8,471,140,20600,5,1
166,42,21,51.0,638,83,97000,1,1
167,57,22,8.5,460,129,25700,2,0
168,41,63,58.7,737,82,104600,0,1
169,35,88,3.5,94,12,9400,1,0
170,49,64,4.3,139,50,10300,2,0
171,45,70,2.1,83,26,3900,0,0
172,59,95,2.5,108,46,6900,2,0
173,25,45,33.0,760,107,69500,0,0
174,69,34,2.0,61,45,4100,3,1
175,21,50,10.0,382,67,24900,2,0
176,58,37,4.9,108,21,13300,1,0
177,51,60,31.4,199,36,51200,2,0
178,61,84,24.4,145,82,42700,0,0
179,35,75,2.1,98,31,5500,1,0
180,27,25,24.7,176,30,40500,4,1
181,48,41,26.6,175,53,47500,3,1
182,65,75,6.2,71,32,9400,1,0
183,45,16,7.8,502,56,26900,2,0
184,63,82,6.0,137,45,12100,0,0
185,26,32,3.1,139,46,6800,0,0
186,33,30,21.5,114,96,39200,1,0
187,30,93,23.4,198,55,43000,1,0
188,29,35,5.4,125,15,14900,0,0
189,48,14,59.3,610,101,106100,0,0
190,47,50,4.0,338,129,13700,6,1
191,23,47,6.4,131,29,15000,1,0
192,48,69,23.4,114,38,35700,2,0
193,33,21,6.7,123,41,14700,0,0
194,63,10,19.8,124,61,36900,1,1
195,48,82,5.6,101,41,13300,2,0
196,24,29,24.3,170,65,41600,0,0
197,47,71,58.3,646,83,104900,0,0
198,40,59,18.4,104,99,28900,2,1
199,69,14,9.3,500,88,27400,3,0
200,30,86,17.0,86,67,27200,2,0
201,34,69,9.5,541,148,27700,2,0
202,24,45,4.8,131,29,11300,3,1
203,55,22,7.5,380,124,18800,4,1
204,29,85,33.9,619,150,65800,0,0
205,32,11,9.7,322,86,23000,2,0
206,50,35,7.8,103,12,15000,4,1
207,20,35,4.9,427,67,19900,2,1
208,20,81,9.0,453,52,28400,3,0
209,49,26,5.6,391,124,19900,2,1
210,18,87,7.5,70,16,11300,0,0
211,69,20,30.2,614,112,61100,2,1
212,61,76,52.4,503,110,90700,1,0
213,20,40,18.9,175,59,35100,1,0
214,64,65,22.7,172,38,38400,1,0
215,39,78,7.0,58,36,14500,1,0
216,36,73,27.7,533,127,57300,0,0
217,27,95,5.1,573,73,20500,2,0
218,28,61,9.5,596,84,30600,2,0
219,33,92,8.0,401,132,25400,2,0
220,55,53,4.5,127,35,8700,0,0
221,68,9,2.3,109,30,4200,1,0
222,21,39,3.4,119,19,6400,0,0
223,23,77,15.2,174,89,27300,0,0
224,38,11,5.6,92,12,9900,1,0
225,46,45,52.3,555,90,94300,0,0
226,18,63,20.7,149,43,36600,3,1
227,37,84,16.7,86,48,25000,1,0
228,23,87,5.5,119,28,9800,3,0
229,30,94,9.4,514,112,28500,0,0
230,18,77,5.3,443,78,22500,2,0
231,27,88,9.3,474,82,27100,2,0
232,23,18,2.7,105,13,10200,0,0
233,45,94,9.0,326,96,23000,3,0
234,46,80,5.2,62,13,12000,1,0
235,37,43,7.2,456,124,25000,7,1
236,27,73,26.0,185,51,43500,1,0
237,37,46,4.9,126,46,10000,1,0
238,67,93,16.0,103,78,27800,4,1
239,25,51,4.1,430,145,17300,3,1
240,35,30,2.9,143,20,7300,2,1
241,30,33,3.2,561,73,17700,1,0
242,27,16,27.3,122,66,44800,0,0
243,60,14,58.4,669,136,105900,0,0
244,26,65,4.9,455,109,14800,2,0
245,43,95,2.0,136,11,6300,0,0
246,42,64,8.3,385,67,23400,0,0
247,49,79,3.6,139,16,11200,1,0
248,57,32,7.7,338,96,20000,3,1
249,53,40,34.0,88,38,51200,4,1
250,39,10,26.0,89,37,40900,0,0
251,54,26,42.5,641,94,80000,0,0
252,40,86,7.3,102,27,12200,1,0
253,62,63,27.2,194,39,45000,2,0
254,26,84,7.8,134,15,13100,2,0
255,46,55,4.2,54,48,6900,2,0
256,49,56,9.6,415,69,26700,1,1
257,46,90,29.9,116,93,47500,5,0
258,27,84,47.1,775,94,90900,1,0
259,66,92,24.5,155,34,39000,2,0
260,60,67,6.0,118,46,13300,0,0
261,55,24,59.6,798,174,116500,1,1
262,64,10,2.1,81,33,2500,1,0
263,39,92,5.8,107,24,15200,1,0
264,67,74,9.2,588,59,27500,3,0
265,20,29,18.8,135,43,35300,3,1
266,28,25,31.7,129,37,50200,0,0
267,21,65,58.0,462,91,101300,1,0
268,48,18,5.7,85,40,11700,0,0
269,64,48,56.7,412,171,100800,2,1
270,47,78,4.1,341,112,13600,0,0
271,38,85,2.1,117,33,6700,0,0
272,46,71,5.5,108,25,10100,1,0
273,50,75,5.3,127,23,8300,6,1
274,62,6,54.2,777,93,99800,0,0
275,42,73,27.6,182,76,44900,1,1
276,43,93,2.1,59,25,6900,3,0
277,39,35,2.5,68,48,2400,0,0
278,65,43,38.7,532,125,72300,0,0
279,36,85,4.1,122,50,12300,2,0
280,37,53,9.5,457,104,29000,3,0
281,36,21,6.7,58,24,12400,1,0
282,19,58,59.7,568,199,104900,2,0
283,36,2,28.5,105,84,46400,5,1
284,32,81,3.8,111,35,9800,0,0
285,44,67,32.3,644,135,67000,0,0
286,50,89,23.7,98,79,40300,1,0
287,66,67,3.4,597,53,21200,2,0
288,40,47,24.2,114,80,40900,1,0
289,68,17,7.4,98,11,15300,3,1
290,59,62,7.6,64,18,16500,2,0
291,59,64,6.6,65,38,8600,0,0
292,41,21,2.4,94,22,5600,2,0
293,19,8,2.9,115,33,7900,1,0
294,27,51,5.4,104,48,11300,4,0
295,58,32,34.0,478,129,65600,1,0
296,66,58,4.6,127,35,11000,0,0
297,66,63,25.4,184,67,45300,0,0
298,39,13,3.1,77,23,8000,2,1
299,18,11,6.5,54,14,9100,2,0
300,52,3,5.8,365,106,16400,2,0
301,52,93,55.5,440,123,94900,1,0
302,54,10,32.4,113,48,51000,2,1
303,24,23,5.5,107,14,11600,2,0
304,39,62,27.6,426,174,57400,1,0
305,45,27,5.9,61,12,12100,1,0
306,26,95,22.4,193,77,37300,3,1
307,30,58,19.4,100,57,30200,2,0
308,51,19,42.7,742,186,83600,0,0
309,60,17,3.3,541,70,17400,5,1
310,30,55,3.6,518,91,21000,1,0
311,19,33,19.5,148,49,31900,1,0
312,50,94,9.5,532,119,29900,2,1
313,56,2,27.7,736,152,65900,1,0
314,66,86,49.1,715,118,92400,1,0
315,31,93,6.9,563,123,25500,5,1
316,58,14,5.7,87,18,9400,0,0
317,38,7,6.5,107,13,14200,1,0
318,52,29,19.3,117,70,33200,6,1
319,60,27,19.5,182,49,36000,0,0
320,48,16,9.1,302,135,26800,1,0
321,57,82,3.2,80,28,6300,0,0
322,36,38,3.9,310,110,11900,2,0
323,68,59,27.2,81,96,40900,1,0
324,58,80,3.9,554,132,20200,1,0
325,32,2,4.5,122,21,8900,0,0
326,48,55,15.8,92,59,25600,1,0
327,51,62,2.7,140,26,9300,0,0
328,56,65,3.9,137,39,10300,3,1
329,49,84,43.5,655,193,82100,0,0
330,18,79,6.2,115,32,9300,0,0
331,68,20,45.1,590,139,81600,0,0
332,60,50,25.4,142,55,43300,3,1
333,29,23,6.6,93,43,8300,1,0
334,42,49,3.2,567,134,20400,1,0
335,47,15,2.3,150,23,10600,1,0
336,32,38,6.3,407,57,23200,2,0
337,52,89,4.4,88,49,9400,1,0
338,61,19,5.7,530,73,20500,1,0
339,28,11,3.4,69,49,6700,0,0
340,18,19,5.7,128,23,9800,0,0
341,49,22,42.6,481,133,80700,0,0
342,36,40,21.4,131,57,37900,1,0
343,38,42,8.2,315,149,22700,1,0
344,62,94,6.4,487,51,23500,0,0
345,22,14,5.8,120,35,7900,1,0
346,53,9,5.2,436,61,18200,3,1
347,64,60,44.0,504,128,85000,0,0
348,47,89,4.5,144,20,8200,1,0
349,52,24,15.6,170,63,28000,3,1
350,39,44,2.3,83,22,5900,2,0
351,50,15,3.9,349,107,17800,2,0
352,57,35,5.7,65,44,7900,1,0
353,50,77,25.9,92,56,41700,2,0
354,66,94,8.9,527,149,31800,0,0
355,20,39,3.1,444,73,14300,0,0
356,55,25,2.9,106,31,9600,0,0
357,61,94,4.2,513,111,17000,4,0
358,35,63,2.2,56,18,7200,1,0
359,49,67,6.7,500,108,22900,2,0
360,41,25,34.1,171,65,54700,1,0
361,42,89,6.0,82,38,11800,1,0
362,57,88,8.5,572,132,32300,1,0
363,59,3,4.9,546,135,19400,5,1
364,37,9,4.8,465,125,20500,1,0
365,59,54,51.2,552,84,93200,0,0
366,37,8,3.4,121,38,9300,5,1
367,51,94,6.1,105,44,13300,0,0
368,26,86,7.4,91,45,9700,0,0
369,47,90,16.5,189,42,30300,4,0
370,51,83,21.7,167,70,39500,3,1
371,44,95,33.0,160,99,57500,3,1
372,39,55,33.4,99,87,51500,3,1
373,46,23,2.0,124,43,9500,0,0
374,46,58,2.2,109,41,3600,0,0
375,57,90,34.1,142,85,56000,2,0
376,35,24,7.3,110,48,13400,0,1
377,32,62,32.5,163,56,47600,1,0
378,37,72,48.1,778,93,95000,1,0
379,69,60,2.5,86,10,9100,0,0
380,36,64,9.6,456,62,27100,1,0
381,64,43,7.9,350,127,21600,3,1
382,38,89,5.6,67,50,14400,1,0
383,46,23,24.1,150,53,40800,0,0
384,51,86,50.5,663,89,93700,1,0
385,18,74,5.2,73,17,10400,0,0
386,57,89,6.9,348,107,20700,2,1
387,26,88,9.0,369,74,26000,5,1
388,38,52,31.0,123,63,50100,1,0
389,22,54,32.4,738,147,68200,0,0
390,43,61,8.8,597,138,26900,2,0
391,50,74,25.9,176,37,45800,2,0
392,37,28,3.4,508,122,16900,1,0
393,56,50,23.6,118,90,41000,2,0
394,30,30,6.4,441,144,20600,2,0
395,55,83,2.2,141,23,7100,0,0
396,27,35,49.8,608,143,93300,1,1
397,25,61,21.4,99,45,37600,2,0
398,52,57,5.4,93,14,10700,1,0
399,24,8,18.5,156,31,33300,2,1
400,58,3,54.5,596,154,97900,1,1
401,50,42,8.7,565,69,25300,0,0
402,62,18,20.1,163,55,31200,1,0
403,47,53,19.8,157,70,35500,4,1
404,31,38,20.6,91,83,34300,1,0
405,46,67,52.6,671,87,96200,0,0
406,23,82,7.3,68,36,4800,1,0
407,35,9,32.5,564,141,67000,0,1
408,65,34,33.3,562,158,66400,0,0
409,22,78,6.1,97,45,9300,0,0
410,42,1,2.7,118,48,4800,1,0
411,27,40,33.4,118,78,54100,0,0
412,47,35,9.9,549,81,29200,3,1
413,33,11,54.9,511,178,98100,1,1
414,50,73,49.2,680,87,94700,0,0
415,59,94,2.1,118,24,6100,1,0
416,25,12,2.5,83,35,4900,2,1
417,69,44,16.9,191,66,29600,1,0
418,47,61,24.1,178,85,40800,1,0
419,56,84,7.0,410,88,18500,3,1
420,46,10,5.1,104,40,12200,2,0
421,66,48,5.7,463,83,20700,2,0
422,41,4,48.6,434,160,82600,0,0
423,23,61,40.3,612,126,77200,0,1
424,60,95,57.4,697,101,105500,3,1
425,18,82,30.2,468,110,63500,1,0
426,67,52,28.9,609,124,58900,1,0
427,47,49,2.2,114,19,6200,0,0
428,26,83,36.5,680,116,69900,2,0
429,44,12,2.7,104,22,6200,1,1
430,46,7,3.0,80,17,8300,1,1
431,57,85,16.4,140,87,27400,2,0
432,35,69,54.4,573,120,100200,0,0
433,57,20,5.0,484,59,21900,3,0
434,39,27,22.7,93,86,38300,2,1
435,24,29,18.1,181,80,29700,1,0
436,49,79,58.3,757,106,106900,1,0
437,49,4,9.6,474,128,28700,2,0
438,41,21,3.2,75,39,5300,2,1
439,59,75,3.0,92,12,8600,1,0
440,18,56,34.2,103,64,53200,1,0
441,41,27,3.0,76,37,7600,0,0
442,31,94,28.0,116,51,44600,3,1
443,51,56,7.1,102,11,16100,2,0
444,43,24,15.3,183,68,25700,1,0
445,37,56,33.4,783,151,71700,0,0
446,68,56,3.9,528,75,18400,1,0
447,50,92,2.2,96,35,6600,2,0
448,68,39,5.7,133,47,13600,1,0
449,18,75,15.9,175,74,25100,1,0
450,30,16,5.5,471,74,22000,1,1
451,24,51,32.7,93,48,54000,3,1
452,58,17,6.7,60,34,12400,2,1
453,36,42,5.6,56,42,8800,1,0
454,33,7,6.5,84,38,13300,3,0
455,48,79,53.3,703,94,99100,0,0
456,19,79,4.4,583,99,23300,0,0
457,40,36,21.2,195,57,37800,4,1
458,36,13,8.8,346,115,21100,1,0
459,69,17,31.9,187,88,54000,4,1
460,39,60,33.1,182,77,49700,1,0
461,62,66,22.3,86,59,36200,4,1
462,26,3,24.4,86,66,38900,1,0
463,55,66,43.6,696,114,82500,4,1
464,45,89,8.5,307,60,21000,1,0
465,29,4,5.6,310,125,16200,3,1
466,53,88,5.7,78,23,9100,1,0
467,54,24,16.3,117,84,26300,2,0
468,43,92,15.9,102,62,24500,3,0
469,39,93,6.5,115,27,9700,1,0
470,53,78,16.0,184,66,29600,0,0
471,66,48,7.9,146,35,13900,0,0
472,65,41,3.3,84,25,10100,2,0
473,67,20,6.6,528,107,24300,0,0
474,34,13,5.6,528,86,21700,2,0
475,30,57,7.2,384,125,21300,0,0
476,60,9,2.5,77,34,5800,3,1
477,44,13,6.6,100,26,11600,1,0
478,53,29,3.5,124,46,6900,1,0
479,57,35,3.4,75,37,6400,0,0
480,68,15,7.6,132,47,18300,1,0
481,51,12,35.5,768,106,75100,1,1
482,66,72,27.0,761,155,62500,1,0
483,19,68,3.3,84,15,10100,0,0
484,55,85,7.1,76,48,15100,0,0
485,33,54,55.6,538,158,97000,1,0
486,64,80,31.8,180,67,55000,1,0
487,63,54,30.7,159,44,51100,4,1
488,38,84,15.5,179,93,27900,1,0
489,68,71,6.9,85,42,16000,2,0
490,60,71,23.3,113,73,38700,1,1
491,29,78,9.8,531,146,26100,3,0
492,25,54,22.7,144,32,39000,0,0
493,44,53,7.3,415,79,19100,0,0
494,68,95,7.7,104,22,12800,0,0
495,69,5,7.7,387,109,20700,5,1
496,66,41,44.3,763,192,88900,2,0
497,20,41,3.9,140,10,11700,4,1
498,31,57,28.0,151,71,46400,3,1
499,53,47,6.2,512,144,20500,2,0
500,34,25,4.3,79,20,7600,3,1
501,32,14,41.9,451,191,74400,0,0
502,32,48,24.7,131,100,41100,2,0
503,38,89,20.7,101,59,33700,1,0
504,18,39,34.4,673,116,70700,0,1
505,66,32,7.6,78,44,15300,4,1
506,64,24,49.0,494,152,88000,0,0
507,36,23,4.8,132,48,11200,4,1
508,27,66,27.6,160,69,42900,4,0
509,50,55,32.1,161,97,56000,3,0
510,55,75,15.6,134,48,25700,2,1
511,42,11,2.9,144,17,5300,1,1
512,43,37,2.2,86,50,4300,0,0
513,30,88,28.6,131,41,42500,2,0
514,61,85,27.9,793,168,64700,2,0
515,44,53,39.9,612,198,76500,0,0
516,32,40,32.1,98,33,53400,3,0
517,32,22,40.1,479,160,76000,1,1
518,26,37,41.7,508,113,79800,1,0
519,22,43,35.0,149,48,54300,6,1
520,26,77,5.2,64,23,10000,1,0
521,54,59,5.8,461,84,22200,0,0
522,62,41,7.4,53,29,12300,2,0
523,66,2,7.9,74,22,15000,3,1
524,43,60,33.3,552,119,65400,0,0
525,37,82,45.6,729,130,86600,0,0
526,26,67,26.5,84,88,42700,5,1
527,29,17,6.8,506,143,24400,4,1
528,46,46,7.8,399,117,18500,1,0
529,34,79,34.8,677,84,70500,1,0
530,35,15,28.0,189,92,45400,1,0
531,62,73,19.4,105,83,30700,1,0
532,19,43,7.2,114,34,14300,1,0
533,22,32,2.1,81,42,5500,2,0
534,33,81,29.3,151,37,50500,2,0
535,59,57,4.1,71,44,8900,0,0
536,38,54,6.9,73,47,8800,3,0
537,45,71,16.8,118,36,27800,0,0
538,61,46,5.8,432,150,21600,2,0
539,65,31,2.5,57,47,3400,0,0
540,60,80,29.8,719,146,65700,0,0
541,49,42,6.6,404,77,20100,0,0
542,48,80,8.0,475,71,25300,4,1
543,61,52,37.7,663,88,71700,0,0
544,65,44,2.9,139,35,8000,0,0
545,67,24,6.0,57,12,10400,1,0
546,26,64,36.6,691,149,74800,2,0
547,62,40,44.1,474,91,82100,1,1
548,45,25,7.0,79,42,9800,0,0
549,66,51,4.5,417,95,20400,0,0
550,59,24,5.4,128,49,12600,1,1
551,21,90,5.0,124,28,13600,1,0
552,52,54,6.6,75,12,13500,3,0
553,27,34,4.7,69,47,10400,0,0
554,53,24,28.1,187,55,49700,1,0
555,69,16,54.5,573,109,96100,0,1
556,54,13,28.7,152,77,44000,5,1
557,27,91,4.7,55,28,7000,1,0
558,39,70,7.5,143,44,14100,1,0
559,66,44,5.7,62,42,12300,2,0
560,34,8,7.0,69,16,11200,0,0
561,31,31,17.3,115,50,27500,4,1
562,22,49,25.3,81,88,42000,2,0
563,47,82,5.1,82,17,10500,1,0
564,30,78,31.6,121,62,51300,0,0
565,64,33,4.7,78,37,9700,0,0
566,39,65,9.8,576,140,29300,3,0
567,65,42,16.2,195,42,32600,2,0
568,59,36,7.5,57,44,10900,0,0
569,65,82,33.6,112,96,56800,0,0
570,34,20,6.7,109,16,10300,0,0
571,63,37,3.0,85,21,8000,0,0
572,52,8,7.0,79,31,11300,0,0
573,35,79,6.7,301,120,17200,3,1
574,18,69,5.2,112,30,9500,3,0
575,45,68,48.5,691,160,90700,0,0
576,49,84,33.0,88,41,55500,6,1
577,31,15,3.3,85,30,5000,1,0
578,37,81,9.6,439,94,26200,1,0
579,36,77,4.5,509,118,22000,1,0
580,58,50,50.8,550,97,91200,0,0
581,18,33,4.6,110,26,6500,2,0
582,63,8,9.7,331,83,22100,1,1
583,66,61,29.7,663,139,65100,0,0
584,45,55,3.7,58,13,3400,3,0
585,63,59,17.2,120,42,27200,0,0
586,54,19,4.0,468,129,17300,1,0
587,43,70,6.5,66,18,14400,2,0
588,57,50,30.6,406,95,57700,0,0
589,33,33,9.8,543,91,29800,0,1
590,66,22,53.1,562,180,95400,0,0
591,19,64,16.4,113,40,25500,4,0
592,68,13,25.3,111,30,42600,2,0
593,30,16,6.0,148,41,13400,0,0
594,58,75,7.7,101,10,12600,2,0
595,31,30,8.6,482,88,27700,4,1
596,47,58,41.9,524,188,76600,0,0
597,37,51,3.1,95,13,4400,2,1
598,35,91,4.6,50,24,9300,0,0
599,65,52,7.8,122,15,13900,0,0
600,61,74,18.7,195,66,32300,2,0
601,53,45,3.8,329,85,16100,0,0
602,37,58,5.4,127,13,9300,2,0
603,26,86,29.4,92,93,45900,2,0
604,60,36,31.4,198,62,55300,3,1
605,47,35,9.3,425,143,28600,1,0
606,46,91,3.6,139,25,13200,2,0
607,43,57,2.9,78,49,9700,1,0
608,68,62,19.0,192,95,32600,0,0
609,57,20,16.5,158,100,28800,3,0
610,69,48,7.7,147,25,15600,0,0
611,41,5,3.7,493,102,21200,1,1
612,56,66,9.9,374,124,24900,0,0
613,61,44,4.6,65,17,9700,1,0
614,65,25,23.9,84,48,43100,2,0
615,44,14,8.0,492,58,24500,2,0
616,36,3,40.7,483,102,72900,0,0
617,19,71,4.9,64,39,8600,0,0
618,38,6,4.0,474,52,17100,5,1
619,29,83,6.6,52,45,12900,3,0
620,66,1,4.2,443,58,14200,1,0
621,62,18,23.9,96,62,41600,2,1
622,44,80,27.8,789,147,61200,1,0
623,28,53,6.9,330,69,20400,0,0
624,42,26,8.0,107,45,15100,1,0
625,52,58,4.0,463,107,19500,1,0
626,24,46,6.7,139,41,12300,2,0
627,69,5,9.9,324,59,27100,1,0
628,51,21,2.1,61,29,6100,4,1
629,56,70,2.6,81,26,7000,0,0
630,45,45,4.5,541,63,19800,1,0
631,61,63,7.0,118,38,15000,2,0
632,54,24,8.4,333,85,22800,4,1
633,51,48,8.0,389,118,19500,2,0
634,36,6,9.0,595,87,28400,1,0
635,68,39,37.4,553,176,71400,0,0
636,44,20,18.0,110,59,30800,3,0
637,24,85,5.2,88,14,10300,2,0
638,36,45,7.8,126,37,17100,0,0
639,25,4,20.3,104,88,39000,0,1
640,28,71,6.0,101,43,15600,2,0
641,29,46,4.8,383,86,17700,2,1
642,25,31,3.5,117,35,10600,0,0
643,58,58,2.3,105,42,7800,0,0
644,39,83,56.9,465,144,99000,0,0
645,19,42,3.7,413,51,16800,3,1
646,66,1,6.1,93,20,8700,5,1
647,55,40,5.8,106,25,13100,2,1
648,57,95,3.9,343,116,18800,0,0
649,52,12,4.1,589,123,23800,1,0
650,52,84,4.2,142,37,9200,1,0
651,69,83,33.1,103,40,54200,1,0
652,20,51,53.4,413,188,89600,0,0
653,41,19,4.2,127,36,8500,1,0
654,26,42,58.6,457,163,100500,0,0
655,60,30,31.7,169,36,52500,0,0
656,54,34,6.7,134,30,10200,1,0
657,32,66,4.2,454,75,21900,3,0
658,21,32,2.7,132,28,3700,0,0
659,51,28,21.0,129,69,34500,4,1
660,67,10,17.0,179,90,33600,3,1
661,33,91,7.6,116,38,15200,3,0
